Datetime,Open,Close,High,Low,Volume,Gain%
2002-06-30 22:00:00,44.11,39.39,47.5,36.41,392836900,-10.700521423713441
2002-07-31 22:00:00,39.22,32.91,41.12,31.98,314269400,-16.088730239673644
2002-08-31 22:00:00,32.11,27.94,35.23,25.79,325308700,-12.986608533167232
2002-09-30 22:00:00,28.35,35.61,36.89,25.16,444068500,25.608465608465604
2002-10-31 22:00:00,35.21,44.17,46.16,34.39,349310800,25.447316103379723
2002-11-30 22:00:00,45.4,35.37,45.99,35.14,248434500,-22.092511013215862
2002-12-31 22:00:00,36.35,32.64,42.63,31.2,309472000,-10.206327372764788
2003-01-31 22:00:00,32.86,35.75,35.91,31.33,202558700,8.79488740109556
2003-02-28 22:00:00,36.0,35.94,40.76,32.07,273034900,-0.16666666666667299
2003-03-31 22:00:00,35.95,41.0,41.92,35.74,245213000,14.047287899860908
2003-04-30 22:00:00,40.95,46.23,46.48,38.7,217670700,12.893772893772878
2003-05-31 22:00:00,46.91,46.46,51.6,45.19,216918300,-0.9592837348113319
2003-06-30 22:00:00,45.97,51.65,53.79,45.02,208471100,12.355884272351533
2003-07-31 22:00:00,51.46,59.45,59.57,47.82,170283400,15.526622619510302
2003-08-31 22:00:00,59.48,51.6,59.55,51.4,197341000,-13.248150638870202
2003-09-30 22:00:00,52.05,57.27,60.8,51.57,199468000,10.028818443804047
2003-10-31 22:00:00,57.74,58.53,61.25,54.45,130366000,1.3682022861101473
2003-11-30 22:00:00,59.0,58.54,60.13,52.74,159799200,-0.7796610169491539
2003-12-31 22:00:00,58.8,57.02,62.82,55.58,169982900,-3.0272108843537318
2004-01-31 22:00:00,57.24,52.71,57.89,52.4,131780000,-7.914046121593294
2004-02-29 22:00:00,52.81,50.28,54.75,48.86,189902500,-4.790759325885251
2004-03-31 22:00:00,50.46,41.7,53.97,41.09,178278300,-17.3602853745541
2004-04-30 22:00:00,41.6,48.18,48.4,40.88,161655700,15.817307692307688
2004-05-31 22:00:00,47.82,49.38,49.75,44.1,113511600,3.262233375156843
2004-06-30 22:00:00,49.2,41.23,49.2,37.19,183578800,-16.19918699186993
2004-07-31 22:00:00,41.0,37.37,41.16,35.02,124166000,-8.853658536585373
2004-08-31 22:00:00,37.13,41.48,41.95,36.25,142373500,11.715593859412857
2004-09-30 22:00:00,42.42,45.53,45.99,39.43,165180400,7.33144743045733
2004-10-31 22:00:00,45.35,45.06,47.55,43.23,111408700,-0.6394707828004391
2004-11-30 22:00:00,45.46,46.58,49.86,44.76,93006000,2.4637043554773372
2004-12-31 22:00:00,46.76,46.25,47.0,41.7,120219800,-1.0906757912745895
2005-01-31 22:00:00,46.21,49.41,51.56,45.84,117875700,6.924908028565237
2005-02-28 22:00:00,49.66,46.01,50.56,44.53,129508500,-7.3499798630688655
2005-03-31 22:00:00,46.34,38.95,46.83,37.39,133601000,-15.947345705653863
2005-04-30 22:00:00,39.19,45.41,46.19,38.59,110789000,15.871395764225566
2005-05-31 22:00:00,45.35,43.68,47.61,43.63,104442000,-3.682469680264612
2005-06-30 22:00:00,43.69,51.7,52.08,43.4,116247700,18.333714808880764
2005-07-31 22:00:00,51.5,50.71,51.95,47.57,86744700,-1.5339805825242703
2005-08-31 22:00:00,50.4,48.76,50.99,46.88,72923800,-3.253968253968255
2005-09-30 22:00:00,48.83,46.3,49.87,44.03,92744800,-5.181241040344053
2005-10-31 22:00:00,46.26,51.19,53.02,45.75,85847400,10.657155209684392
2005-11-30 22:00:00,51.73,49.33,55.0,49.03,66002100,-4.6394741929248
2005-12-31 22:00:00,49.33,51.98,55.03,48.62,95549400,5.3719845935536155
2006-01-31 22:00:00,51.9,52.23,54.63,50.26,82867100,0.635838150289014
2006-02-28 22:00:00,52.3,48.36,54.43,47.77,85057400,-7.53346080305927
2006-03-31 22:00:00,48.62,48.16,49.96,45.61,85192500,-0.9461127108185949
2006-04-30 22:00:00,48.06,41.04,51.49,38.67,127152100,-14.606741573033712
2006-05-31 22:00:00,40.88,41.57,42.58,39.06,88188900,1.6878669275929494
2006-06-30 22:00:00,41.54,42.19,42.94,38.38,99968368,1.5647568608570017
2006-07-31 22:00:00,41.74,43.91,45.8,40.28,90839263,5.198850023957821
2006-08-31 22:00:00,44.25,44.47,46.87,42.45,75494173,0.49717514124293527
2006-09-30 22:00:00,44.61,49.17,50.47,43.37,93601942,10.221923335574989
