Datetime,Open,Close,High,Low,Volume,Gain%
2002-06-30 22:00:00,38.64,35.33,39.45,30.2,79725800,-8.566252587991723
2002-07-31 22:00:00,35.45,34.75,37.7,32.6,59971500,-1.9746121297602333
2002-08-31 22:00:00,34.75,30.76,35.88,29.01,65130300,-11.482014388489205
2002-09-30 22:00:00,30.61,33.75,36.2,30.0,80823300,10.258085592943484
2002-10-31 22:00:00,33.29,28.79,34.1,28.05,78879400,-13.517572844698108
2002-11-30 22:00:00,29.29,29.19,30.45,27.7,84075800,-0.3414134516899893
2002-12-31 22:00:00,29.6,29.0,32.99,28.67,77642800,-2.0270270270270316
2003-01-31 22:00:00,29.07,28.14,29.57,26.9,53296600,-3.199174406604746
2003-02-28 22:00:00,28.2,29.48,31.9,27.33,63609500,4.539007092198586
2003-03-31 22:00:00,29.48,30.86,32.74,29.15,69177300,4.681139755766618
2003-04-30 22:00:00,30.86,30.79,33.66,29.92,75910200,-0.2268308489954643
2003-05-31 22:00:00,30.9,30.1,33.28,28.8,86845000,-2.588996763754036
2003-06-30 22:00:00,30.53,29.92,31.45,28.9,90231900,-1.9980347199475907
2003-07-31 22:00:00,29.8,32.57,32.66,29.31,62116300,9.295302013422816
2003-08-31 22:00:00,32.73,30.64,32.89,30.18,75185900,-6.385578979529473
2003-09-30 22:00:00,30.75,34.82,35.64,30.72,68690300,13.235772357723578
2003-10-31 22:00:00,34.76,36.81,37.0,34.76,43285000,5.8975834292290115
2003-11-30 22:00:00,36.98,36.38,37.42,34.47,65685200,-1.622498647917778
2003-12-31 22:00:00,36.43,34.55,36.76,33.73,62757000,-5.160581937963224
2004-01-31 22:00:00,34.51,35.66,35.99,33.63,60493100,3.3323674297305086
2004-02-29 22:00:00,35.55,32.95,35.8,32.0,74079600,-7.313642756680716
2004-03-31 22:00:00,32.94,34.48,34.65,32.4,66011200,4.675166970248935
2004-04-30 22:00:00,34.85,35.01,35.54,33.28,60280600,0.4591104734576659
2004-05-31 22:00:00,35.05,36.21,36.66,34.26,52943100,3.309557774607714
2004-06-30 22:00:00,36.03,36.4,37.82,35.35,58367800,1.0269220094365734
2004-07-31 22:00:00,36.17,36.45,37.76,34.89,47953400,0.7741222007188309
2004-08-31 22:00:00,36.45,35.83,38.07,35.7,52557500,-1.7009602194787505
2004-09-30 22:00:00,35.87,35.89,37.26,35.05,55444700,0.055756899916373365
2004-10-31 22:00:00,35.95,38.18,39.51,35.63,55392300,6.203059805285109
2004-11-30 22:00:00,38.23,38.37,39.37,38.11,48959200,0.36620455139942604
2004-12-31 22:00:00,39.75,42.61,43.27,39.66,82671900,7.194968553459118
2005-01-31 22:00:00,42.61,42.83,44.19,41.31,55014900,0.5163107251818795
2005-02-28 22:00:00,43.01,44.42,46.75,42.11,81015600,3.2783073703789904
2005-03-31 22:00:00,44.51,43.06,44.85,41.51,62086400,-3.2576949000224573
2005-04-30 22:00:00,43.3,45.34,46.74,43.04,49324200,4.711316397228652
2005-05-31 22:00:00,45.34,45.99,47.39,44.01,61036300,1.4336127040141124
2005-06-30 22:00:00,46.24,47.86,48.18,45.81,47466300,3.503460207612451
2005-07-31 22:00:00,48.32,46.33,49.01,45.15,56318800,-4.118377483443713
2005-08-31 22:00:00,46.22,43.45,46.75,40.98,90252800,-5.993076590220675
2005-09-30 22:00:00,43.45,45.43,46.3,42.62,82818500,4.556962025316448
2005-10-31 22:00:00,45.43,45.68,48.25,44.53,67959800,0.550297160466652
2005-11-30 22:00:00,45.77,44.26,47.05,43.84,57423600,-3.2991042167358637
2005-12-31 22:00:00,44.63,43.28,45.5,42.13,76671400,-3.0248711628949168
2006-01-31 22:00:00,43.17,44.86,46.39,42.61,55653400,3.914755617326842
2006-02-28 22:00:00,45.03,43.13,46.07,43.03,72642800,-4.219409282700419
2006-03-31 22:00:00,43.26,41.93,44.63,41.53,61791300,-3.074433656957925
2006-04-30 22:00:00,42.6,40.6,42.78,39.55,92282100,-4.694835680751173
2006-05-31 22:00:00,40.55,44.84,45.37,40.45,98835800,10.579531442663395
2006-06-30 22:00:00,44.75,46.78,48.17,44.71,74533500,4.536312849162013
2006-07-31 22:00:00,46.5,49.46,50.0,45.88,66134700,6.365591397849464
2006-08-31 22:00:00,49.6,44.39,51.6,42.95,163283700,-10.504032258064518
2006-09-30 22:00:00,44.78,43.68,45.1,41.36,169397100,-2.456453774006256
2006-10-31 22:00:00,43.25,40.49,43.78,39.91,151058600,-6.381502890173405
2006-11-30 22:00:00,40.45,45.89,47.28,40.05,117838700,13.448702101359697
2006-12-31 22:00:00,45.89,45.3,46.69,44.8,81001300,-1.285683155371548
2007-01-31 22:00:00,45.32,44.7,46.49,43.39,77916764,-1.368049426301848
2007-02-28 22:00:00,44.02,45.89,49.1,43.23,131579844,4.248069059518395
2007-03-31 22:00:00,45.74,43.9,46.77,43.87,87692041,-4.022737210319203
2007-04-30 22:00:00,44.13,45.13,45.92,43.5,97435531,2.2660321776569226
2007-05-31 22:00:00,45.13,43.54,45.5,43.3094,116699486,-3.52315532904942
2007-06-30 22:00:00,43.84,44.18,45.9,43.5,132898169,0.7755474452554659
2007-07-31 22:00:00,44.17,45.07,47.72,43.6,130660865,2.037582069277787
2007-08-31 22:00:00,45.01,47.24,48.09,43.74,88603989,4.954454565652086
2007-09-30 22:00:00,41.44,39.65,47.24,37.1,312812449,-4.319498069498068
2007-10-31 22:00:00,39.6,36.59,40.35,36.5,172868766,-7.601010101010096
2007-11-30 22:00:00,36.82,38.08,39.25,35.8,155486482,3.422053231939158
2007-12-31 22:00:00,37.99,35.08,38.665,32.5,201485066,-7.6599105027638945
2008-01-31 22:00:00,35.18,36.51,37.98,34.26,120256305,3.7805571347356404
2008-02-29 22:00:00,36.39,38.09,38.89,34.76,128199328,4.671613080516633
2008-03-31 22:00:00,38.17,34.85,39.0,34.7,112870236,-8.697930311763164
